Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
11111,Geothermal,Steam Turbine,PP,IT,201.79,,,,,,1997,2014.0,2031,42.759,11.1136,,,
11112,Geothermal,Steam Turbine,PP,IT,411.2,,,,,,1950,2000.0,2031,43.716,10.3966,,,
11113,Geothermal,Steam Turbine,PP,IT,204.1,,,,,,1970,2010.0,2031,43.3188,11.3308,,,
22221,Bioenergy,Steam Turbine,PP,IT,345.2,,,,,,2000,,2031,45.07,7.52,,,
22222,Bioenergy,Steam Turbine,PP,IT,3.1,,,,,,2000,,2031,45.74,7.35,,,
22223,Bioenergy,Steam Turbine,PP,IT,979.3,,,,,,2000,,2031,45.58,9.93,,,
22224,Bioenergy,Steam Turbine,PP,IT,89.1,,,,,,2000,,2031,46.44,11.26,,,
22225,Bioenergy,Steam Turbine,PP,IT,325.9,,,,,,2000,,2031,45.55,11.55,,,
22226,Bioenergy,Steam Turbine,PP,IT,140.8,,,,,,2000,,2031,46.09,13.23,,,
22227,Bioenergy,Steam Turbine,PP,IT,18.3,,,,,,2000,,2031,44.4,8.93,,,
22228,Bioenergy,Steam Turbine,PP,IT,647.9,,,,,,2000,,2031,44.5,11.34,,,
22229,Bioenergy,Steam Turbine,PP,IT,159.5,,,,,,2000,,2031,43.47,11.04,,,
22230,Bioenergy,Steam Turbine,PP,IT,46.4,,,,,,2000,,2031,42.95,12.62,,,
22231,Bioenergy,Steam Turbine,PP,IT,35.1,,,,,,2000,,2031,43.53,13.35,,,
22232,Bioenergy,Steam Turbine,PP,IT,165.7,,,,,,2000,,2031,41.9,12.62,,,
22233,Bioenergy,Steam Turbine,PP,IT,29.6,,,,,,2000,,2031,42.19,13.73,,,
22234,Bioenergy,Steam Turbine,PP,IT,46.1,,,,,,2000,,2031,41.69,14.62,,,
22235,Bioenergy,Steam Turbine,PP,IT,240.4,,,,,,2000,,2031,40.84,14.25,,,
22236,Bioenergy,Steam Turbine,PP,IT,333.3,,,,,,2000,,2031,41.12,16.87,,,
22237,Bioenergy,Steam Turbine,PP,IT,83.3,,,,,,2000,,2031,40.64,16.4,,,
22238,Bioenergy,Steam Turbine,PP,IT,197.1,,,,,,2000,,2031,38.91,16.59,,,
22239,Bioenergy,Steam Turbine,PP,IT,74.0,,,,,,2000,,2031,37.6,14.02,,,
22240,Bioenergy,Steam Turbine,PP,IT,118.7,,,,,,2000,,2031,40.12,9.01,,,
